player_name,runs,bowling-stats,stadium,format
['Ishan Porel'],15,"['0/34', '1/72', '3/71', '0/35', '2/31', '0/23', '2/34', '4/24', '3/34', '4/26']","['Kolkata', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata']","['List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Moeen Ali'],314,"['1/1', '0/16', '--', '3/7', '1/17', '0/33', '1/39', '0/47', '0/28', '4/128 & 4/98']","['Delhi', 'Delhi', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Pune', 'Pune', 'Pune', 'Chennai']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'ODI # 4284', 'ODI # 4283', 'ODI # 4281', 'Test # 2411']"
['Ravisrinivasan Sai Kishore'],63,"['0/18', '1/30', '0/35', '1/39', '1/31', '0/11', '2/16', '1/27', '1/28', '0/10']","['Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Kolkata', 'Kolkata']","['List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Narayan Jagadeesan'],415,[],"['Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Kolkata', 'Kolkata']","['List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20']"
['C Hari Nishaanth'],256,"['--', '--', '--', '--', '--', '--', '--', '--', '--', '0/7']","['Indore', 'Indore', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata']","['List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Ruturaj Gaikwad'],257,[],"['Delhi', 'Delhi', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Jaipur', 'Jaipur', 'Jaipur']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'List A', 'List A', 'List A']"
['KM Asif'],8,"['1/40', '0/6', '1/39', '3/25', '1/37', '0/40 & 0/23', '2/23 & 0/35', '0/16 & 0/27', '0/12', '1/16']","['Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Hyderabad (Deccan)', 'Surat', 'Thumba', 'Thiruvananthapuram', 'Thiruvananthapuram']","['T20', 'T20', 'T20', 'T20', 'T20', 'FC', 'FC', 'FC', 'T20', 'T20']"
['Harishankar Reddy'],16,"['3/60', '4/30', '1/34', '0/17', '0/62', '2/36', '0/26', '3/35', '2/40', '0/13']","['Delhi', 'Indore', 'Indore', 'Indore', 'Indore', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Visakhapatnam']","['List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Ravindra Jadeja'],260,"['1/29', '0/23', '3/13', '0/33', '2/28', '0/19', '0/16', '4/62', '1/15 & 2/28', '--']","['Delhi', 'Delhi', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Sydney', 'Melbourne', 'Canberra']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'Test # 2402', 'Test # 2398', 'T20I # 1114']"
['MS Dhoni'],57,[],"['01-May-2021', '28-Apr-2021', '25-Apr-2021', '21-Apr-2021', '19-Apr-2021', '16-Apr-2021', '10-Apr-2021', '01-Nov-2020', '29-Oct-2020', '25-Oct-2020']","['Delhi', 'Delhi', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Abu Dhabi', 'Dubai (DSC)', 'Dubai (DSC)']"
['Josh Hazlewood'],46,"['1/42', '0/29', '2/31', '--', '3/77 & 1/34', '0/44 & 1/28', '5/57 & 1/74', '2/43 & 2/39', '1/47 & 0/14', '1/47 & 5/8']","['Brisbane', 'Sydney', 'Sydney', 'Sydney', 'Adelaide', 'Sydney', 'Brisbane', 'Sydney', 'Melbourne', 'Adelaide']","['FC', 'List A', 'List A', 'List A', 'FC', 'FC', 'Test # 2404', 'Test # 2402', 'Test # 2398', 'Test # 2396']"
['Karn Sharma'],101,"['0/51', '1/56', '2/59', '1/45', '1/30', '2/17', '1/27', '1/23', '1/35', '0/34']","['Bengaluru', 'Alur (3)', 'Bengaluru', 'Bengaluru', 'Alur (2)', 'Alur', 'Alur (3)', 'Alur (3)', 'Dubai (DSC)', 'Sharjah']","['List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Cheteshwar Pujara'],524,[],"['Ahmedabad', 'Ahmedabad', 'Chennai', 'Chennai', 'Brisbane', 'Sydney', 'Melbourne', 'Adelaide', 'Sydney', 'Rajkot']","['Test # 2414', 'Test # 2412', 'Test # 2411', 'Test # 2409', 'Test # 2404', 'Test # 2402', 'Test # 2398', 'Test # 2396', 'FC', 'FC']"
['Ambati Rayudu'],237,[],"['Delhi', 'Delhi', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Suresh Raina'],163,"['--', '--', '--', '--', '--', '--', '--', '1/15', '0/23', '--']","['Delhi', 'Delhi', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Alur (3)', 'Alur', 'Alur']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Robin Uthappa'],517,[],"['Delhi', 'Alur (3)', 'Bengaluru', 'Bengaluru', 'Alur (2)', 'Alur', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai']","['List A', 'List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20']"
['Imran Tahir'],24,"['2/16', '2/29', '1/20', '2/30', '0/26', '0/22', '0/16', '0/30', '1/22', '1/24']","['Mumbai', 'Karachi', 'Abu Dhabi', 'Abu Dhabi', 'Abu Dhabi', 'Abu Dhabi', 'Abu Dhabi', 'Karachi', 'Karachi', 'Abu Dhabi']","['T20', 'T20', 'OTHEROD', 'OTHEROD', 'OTHEROD', 'OTHEROD', 'OTHEROD', 'T20', 'T20', 'T20']"
['Krishnappa Gowtham'],162,"['1/53', '2/73', '0/16', '1/26', '1/28', '2/13', '1/45', '0/39', '2/90 & 3/15', '1/30 & 7/54']","['Delhi', 'Delhi', 'Alur (2)', 'Alur (3)', 'Alur', 'Alur', 'Abu Dhabi', 'Dubai (DSC)', 'Kolkata', 'Jammu']","['List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'FC', 'FC']"
['Deepak Chahar'],8,"['0/37', '0/21', '0/25', '4/29', '0/32', '4/13', '0/36', '0/36', '1/29', '0/40']","['Delhi', 'Delhi', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Indore', 'Indore', 'Indore']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Faf du Plessis'],391,[],"['Delhi', 'Delhi', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Karachi', 'Karachi', 'Karachi']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Shardul Thakur'],31,"['1/56', '0/44', '1/11', '0/48', '1/20', '0/35', '2/53', '4/67', '0/54', '3/37']","['Delhi', 'Delhi', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Pune', 'Pune', 'Pune']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'ODI # 4284', 'ODI # 4283', 'ODI # 4281']"
['Mitchell Santner'],62,"['0/7', '2/51', '2/23', '0/21', '1/16', '4/31', '1/29', '1/33', '0/32', '1/17']","['Wellington', 'Christchurch', 'Dunedin', 'Wellington', 'Wellington', 'Dunedin', 'Christchurch', 'Dunedin', 'Hamilton', 'Auckland']","['ODI # 4282', 'ODI # 4280', 'ODI # 4279', 'T20I # 1129', 'T20I # 1127', 'T20I # 1124', 'T20I # 1123', 'T20', 'T20', 'T20']"
['Dwayne Bravo'],31,"['0/19', '1/28', '1/10', '1/28', '0/31', '2/25', '1/26', '0/15', '2/14', '1/18']","['Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Coolidge', 'Coolidge', 'Coolidge', 'Abu Dhabi', 'Abu Dhabi', 'Abu Dhabi']","['T20', 'T20', 'T20', 'T20', 'T20I # 1130', 'T20I # 1128', 'T20I # 1126', 'OTHEROD', 'OTHEROD', 'OTHEROD']"
['Lungi Ngidi'],5,"['0/62', '2/35', '3/28', '1/66', '0/65', '3/20', '1/22', '1/19', '3/18', '2/19']","['Delhi', 'Delhi', 'Mumbai', 'Johannesburg', 'Centurion', 'Durban', 'Durban', 'Durban', 'Durban', 'Durban']","['T20', 'T20', 'T20', 'ODI # 4286', 'ODI # 4285', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Sam Curran'],159,"['3/34', '1/30', '1/35', '1/58', '2/24', '1/12', '0/24', '1/43', '1/47', '0/48']","['Delhi', 'Delhi', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Pune', 'Pune', 'Pune']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'ODI # 4284', 'ODI # 4283', 'ODI # 4281']"
